Date,CNY,CNY-1,CNY-2,CNY-3,CNY-6,CNY-12,GBP,GBP-1,GBP-2,GBP-3,GBP-6,GBP-12
200001,8.27925,,,,,,0.6096070658281321,,,,,
200002,8.27812,8.27925,,,,,0.624778033470486,0.6096070658281321,,,,
200003,8.27856,8.27812,8.27925,,,,0.632357416916227,0.624778033470486,0.6096070658281321,,,
200004,8.27929,8.27856,8.27812,8.27925,,,0.632210194335299,0.632357416916227,0.624778033470486,0.6096070658281321,,
200005,8.2781,8.27929,8.27856,8.27812,,,0.662591591549789,0.632210194335299,0.632357416916227,0.624778033470486,,
200006,8.2772,8.2781,8.27929,8.27856,,,0.6618938188559189,0.662591591549789,0.632210194335299,0.632357416916227,,
200007,8.2794,8.2772,8.2781,8.27929,8.27925,,0.6628430088808929,0.6618938188559189,0.662591591549789,0.632210194335299,0.6096070658281321,
200008,8.27957,8.2794,8.2772,8.2781,8.27812,,0.67171635553722,0.6628430088808929,0.6618938188559189,0.662591591549789,0.624778033470486,
200009,8.2796,8.27957,8.2794,8.2772,8.27856,,0.697577341307164,0.67171635553722,0.6628430088808929,0.6618938188559189,0.632357416916227,
200010,8.27846,8.2796,8.27957,8.2794,8.27929,,0.688969358010187,0.697577341307164,0.67171635553722,0.6628430088808929,0.632210194335299,
200011,8.27735,8.27846,8.2796,8.27957,8.2781,,0.700311340961815,0.688969358010187,0.697577341307164,0.67171635553722,0.662591591549789,
200012,8.27715,8.27735,8.27846,8.2796,8.2772,,0.681995987369811,0.700311340961815,0.688969358010187,0.697577341307164,0.6618938188559189,
200101,8.277610000000001,8.27715,8.27735,8.27846,8.2794,8.27925,0.676888065510391,0.681995987369811,0.700311340961815,0.688969358010187,0.6628430088808929,0.6096070658281321
200102,8.27706,8.277610000000001,8.27715,8.27735,8.27957,8.27812,0.688367915488735,0.676888065510391,0.681995987369811,0.700311340961815,0.67171635553722,0.624778033470486
200103,8.27753,8.27706,8.277610000000001,8.27715,8.2796,8.27856,0.692499198944359,0.688367915488735,0.676888065510391,0.681995987369811,0.697577341307164,0.632357416916227
200104,8.2771,8.27753,8.27706,8.277610000000001,8.27846,8.27929,0.69654137273442,0.692499198944359,0.688367915488735,0.676888065510391,0.688969358010187,0.632210194335299
200105,8.27725,8.2771,8.27753,8.27706,8.27735,8.2781,0.700808435361666,0.69654137273442,0.692499198944359,0.688367915488735,0.700311340961815,0.662591591549789
200106,8.27704,8.27725,8.2771,8.27753,8.27715,8.2772,0.712875556514149,0.700808435361666,0.69654137273442,0.692499198944359,0.681995987369811,0.6618938188559189
200107,8.27689,8.27704,8.27725,8.2771,8.277610000000001,8.2794,0.706541683014876,0.712875556514149,0.700808435361666,0.69654137273442,0.676888065510391,0.6628430088808929
200108,8.27697,8.27689,8.27704,8.27725,8.27706,8.27957,0.695362464298501,0.706541683014876,0.712875556514149,0.700808435361666,0.688367915488735,0.67171635553722
200109,8.276810000000001,8.27697,8.27689,8.27704,8.27753,8.2796,0.6825601792521961,0.695362464298501,0.706541683014876,0.712875556514149,0.692499198944359,0.697577341307164
200110,8.276810000000001,8.276810000000001,8.27697,8.27689,8.2771,8.27846,0.6889161445160981,0.6825601792521961,0.695362464298501,0.706541683014876,0.69654137273442,0.688969358010187
200111,8.27688,8.276810000000001,8.276810000000001,8.27697,8.27725,8.27735,0.69644000117604,0.6889161445160981,0.6825601792521961,0.695362464298501,0.700808435361666,0.700311340961815
200112,8.276869999999999,8.27688,8.276810000000001,8.276810000000001,8.27704,8.27715,0.693669387909886,0.69644000117604,0.6889161445160981,0.6825601792521961,0.712875556514149,0.681995987369811
200201,8.276660000000001,8.276869999999999,8.27688,8.276810000000001,8.27689,8.277610000000001,0.6984069437571471,0.693669387909886,0.69644000117604,0.6889161445160981,0.706541683014876,0.676888065510391
200202,8.27667,8.276660000000001,8.276869999999999,8.27688,8.27697,8.27706,0.702448419578316,0.6984069437571471,0.693669387909886,0.69644000117604,0.695362464298501,0.688367915488735
200203,8.27708,8.27667,8.276660000000001,8.276869999999999,8.276810000000001,8.27753,0.7024983235274901,0.702448419578316,0.6984069437571471,0.693669387909886,0.6825601792521961,0.692499198944359
200204,8.2772,8.27708,8.27667,8.276660000000001,8.276810000000001,8.2771,0.692691020073323,0.7024983235274901,0.702448419578316,0.6984069437571471,0.6889161445160981,0.69654137273442
200205,8.27699,8.2772,8.27708,8.27667,8.27688,8.27725,0.684997868577231,0.692691020073323,0.7024983235274901,0.702448419578316,0.69644000117604,0.700808435361666
200206,8.27705,8.27699,8.2772,8.27708,8.276869999999999,8.27704,0.673375597464352,0.684997868577231,0.692691020073323,0.7024983235274901,0.693669387909886,0.712875556514149
